,external_ids,id,is_trans,name,rgb
13,"{'BrickOwl': {'ext_descrs': [['Pink']], 'ext_ids': [3]}, 'Peeron': {'ext_descrs': [['pink']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Pink']], 'ext_ids': [23]}, 'LDraw': {'ext_descrs': [['Pink']], 'ext_ids': [13]}, 'LEGO': {'ext_descrs': [['L.REDVIOL']], 'ext_ids': [1007]}}",13,False,Pink,FC97AC
14,"{'BrickOwl': {'ext_descrs': [['Yellow']], 'ext_ids': [93]}, 'Peeron': {'ext_descrs': [['yellow']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Yellow']], 'ext_ids': [3]}, 'LDraw': {'ext_descrs': [['Yellow']], 'ext_ids': [14]}, 'LEGO': {'ext_descrs': [['Bright yellow', 'BR.YEL']], 'ext_ids': [24]}}",14,False,Yellow,F2CD37
15,"{'BrickOwl': {'ext_descrs': [['White']], 'ext_ids': [92]}, 'Peeron': {'ext_descrs': [['white']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['White']], 'ext_ids': [1]}, 'LDraw': {'ext_descrs': [['White']], 'ext_ids': [15]}, 'LEGO': {'ext_descrs': [['White']], 'ext_ids': [1]}}",15,False,White,FFFFFF
16,"{'BrickOwl': {'ext_descrs': [['Light Green']], 'ext_ids': [11]}, 'Peeron': {'ext_descrs': [['ltgreen']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Light Green']], 'ext_ids': [38]}, 'LDraw': {'ext_descrs': [['Light_Green']], 'ext_ids': [17]}, 'LEGO': {'ext_descrs': [['Light green', 'L.GREEN']], 'ext_ids': [6]}}",17,False,Light Green,C2DAB8
17,"{'BrickOwl': {'ext_descrs': [['Light Yellow']], 'ext_ids': [9]}, 'Peeron': {'ext_descrs': [['ltyellow']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Light Yellow']], 'ext_ids': [33]}, 'LDraw': {'ext_descrs': [['Light_Yellow']], 'ext_ids': [18]}, 'LEGO': {'ext_descrs': [['Light yellow']], 'ext_ids': [3]}}",18,False,Light Yellow,FBE696
18,"{'BrickOwl': {'ext_descrs': [['Tan']], 'ext_ids': [89]}, 'Peeron': {'ext_descrs': [['tan']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Tan']], 'ext_ids': [2]}, 'LDraw': {'ext_descrs': [['Tan']], 'ext_ids': [19]}, 'LEGO': {'ext_descrs': [['Brick yellow', 'BRICK-YEL']], 'ext_ids': [5]}}",19,False,Tan,E4CD9E
19,"{'BrickOwl': {'ext_descrs': [['Light Violet']], 'ext_ids': [16]}, 'Peeron': {'ext_descrs': [['ltviolet']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Light Violet']], 'ext_ids': [44]}, 'LDraw': {'ext_descrs': [['Light_Violet']], 'ext_ids': [20]}, 'LEGO': {'ext_descrs': [['Light bluish violet', 'L.BLUEVIOL']], 'ext_ids': [39]}}",20,False,Light Violet,C9CAE2
20,"{'BrickOwl': {'ext_descrs': [['Glow in the Dark Opaque']], 'ext_ids': [127]}, 'Peeron': {'ext_descrs': [['glowinthedark']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Glow In Dark Opaque']], 'ext_ids': [46]}, 'LDraw': {'ext_descrs': [['Glow_In_Dark_Opaque']], 'ext_ids': [21]}, 'LEGO': {'ext_descrs': [['Phosp. White', 'PHOS.WHITE']], 'ext_ids': [50]}}",21,False,Glow In Dark Opaque,D4D5C9
21,"{'BrickOwl': {'ext_descrs': [['Purple']], 'ext_ids': [4]}, 'Peeron': {'ext_descrs': [['purple']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Purple']], 'ext_ids': [24]}, 'LDraw': {'ext_descrs': [['Purple']], 'ext_ids': [22]}, 'LEGO': {'ext_descrs': [['Bright violet', 'BR. VIOLET']], 'ext_ids': [104]}}",22,False,Purple,81007B
22,"{'BrickOwl': {'ext_descrs': [['Dark Royal Blue']], 'ext_ids': [49]}, 'Peeron': {'ext_descrs': [['dkroyalblue']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Dark Blue-Violet']], 'ext_ids': [109]}, 'LDraw': {'ext_descrs': [['Dark_Blue_Violet']], 'ext_ids': [23]}, 'LEGO': {'ext_descrs': [['Dark Royal blue', 'DK. R.BLUE']], 'ext_ids': [196]}}",23,False,Dark Blue-Violet,2032B0
23,"{'BrickOwl': {'ext_descrs': [['Orange']], 'ext_ids': [80]}, 'Peeron': {'ext_descrs': [['orange']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Orange']], 'ext_ids': [4]}, 'LDraw': {'ext_descrs': [['Orange']], 'ext_ids': [25]}, 'LEGO': {'ext_descrs': [['Bright orange', 'BR.ORANGE']], 'ext_ids': [106]}}",25,False,Orange,FE8A18
